# MIME table updated from IANA application.csv on 2026-05-01
# Format: <mime-type><TAB><space-separated-extensions>

application/1d-interleaved-parityfec	1d-interleaved-parityfec
application/vnd.aether.imp	vnd.aether.imp
application/vnd.afpc.afplinedata	vnd.afpc.afplinedata
application/vnd.afpc.afplinedata-pagedef	vnd.afpc.afplinedata-pagedef
application/vnd.afpc.cmoca-cmresource	vnd.afpc.cmoca-cmresource
application/vnd.afpc.foca-charset	vnd.afpc.foca-charset
application/vnd.afpc.foca-codedfont	vnd.afpc.foca-codedfont
application/vnd.afpc.foca-codepage	vnd.afpc.foca-codepage
application/vnd.afpc.modca	vnd.afpc.modca
application/vnd.afpc.modca-cmtable	vnd.afpc.modca-cmtable
application/vnd.afpc.modca-formdef	vnd.afpc.modca-formdef
application/vnd.afpc.modca-mediummap	vnd.afpc.modca-mediummap
application/vnd.afpc.modca-objectcontainer	vnd.afpc.modca-objectcontainer
application/vnd.afpc.modca-overlay	vnd.afpc.modca-overlay
